Biomass,Type,Moisture content (% wb),"Initial avg. particle size, (mm)",In-feed Seive Size (mm),Volatile Matter (%),Ash (%),Energy content (MJ/kg),Grinder type,"Motor size, kW","Screen size, mm",Grinding Rate (Mg/h),Feed rate (g/s),"Sp. Grinding energy, kJ/kg",Final particle size (mm)
Agricultural residue,Corn stover,10.0,19.5,,,,,Hammer Mill,2.2371,3.2,,16.67,125.64,
Agricultural residue,Corn stover,10.0,19.5,,,,,Hammer Mill,2.2371,6.4,,16.67,69.12,
Agricultural residue,Corn stover,10.0,19.5,,,,,Hammer Mill,2.2371,12.7,,16.67,44.28,
Agricultural residue,Corn stover,10.0,19.5,,,,,Hammer Mill,2.2371,25.4,,16.67,35.46,
Agricultural residue,Wheat straw,10.0,5.65,,,,,Hammer Mill,2.2371,3.2,,16.67,110.88,0.85
Agricultural residue,Wheat straw,10.0,5.65,,,,,Hammer Mill,2.2371,6.4,,16.67,54.72,1.0
Agricultural residue,Wheat straw,10.0,5.65,,,,,Hammer Mill,2.2371,12.7,,16.67,38.16,1.1
Agricultural residue,Wheat straw,10.0,5.65,,,,,Hammer Mill,2.2371,25.4,,16.67,32.58,1.23
Agricultural residue,Corn stalk,14.0,40.0,,,,,Lab Mill,0.9,,,,2310.0,
Agricultural residue,Corn stalk,14.0,40.0,,,,,Lab Mill,0.9,,,,1680.0,
Agricultural residue,Corn stalk,14.0,40.0,,,,,Lab Mill,0.9,,,,1440.0,
Agricultural residue,Corn stalk,14.0,40.0,,,,,Lab Mill,0.9,,,,1260.0,
Agricultural residue,Corn stalk,14.0,40.0,,,,,Lab Mill,0.9,,,,1170.0,
